uiUUS3CcC5,https://www.google.com/search?q=Biblioteche+e+Servizi+allo+Studio+unibo+filopanti+7&rlz=1C5CHFA_enIT931IT932&sxsrf=ALeKk00JNFtBr-1daOZf_54rdPzgi7YYZg:1619081275324&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjRppziu5HwAhWSuKQKHYNbCmUQ_AUoBHoECAEQBg&biw=1440&bih=821#imgrc=KWz7V-IHPf0MwM,Area Biblioteche e Servizi allo Studio
rRrRtTt125,https://www.google.com/search?q=Biblioteca+delle+Arti.+Sezione+di+Musica+e+Spettacolo+via+barberia+4&rlz=1C5CHFA_enIT931IT932&sxsrf=ALeKk008h_Uu7X6-pKOckx0VOqlb5JFIBw:1619080954896&tbm=isch&source=iu&ictx=1&fir=V6wTpxi2lZ_IIM%252C6Tj3QN3ChN5GZM%252C_&vet=1&usg=K_ac-HW2u_LDAyXEpOWBNOHfQ9mcs%3D&sa=X&ved=2ahUKEwjQ87bJupHwAhWxsaQKHRNtCtgQuqIBMBJ6BAggEAM&biw=1440&bih=821#imgrc=V6wTpxi2lZ_IIM,Biblioteca delle Arti. Sezione di Musica e Spettacolo
uOoOiI67ss,https://www.google.com/search?q=Biblioteca+di+Agraria+Gabriele+Goidanich+via+fanin+40&rlz=1C5CHFA_enIT931IT932&sxsrf=ALeKk03ymW2voHCaq_QSaYi24FhtBzDfAQ:1619081330764&tbm=isch&source=iu&ictx=1&fir=u9Bgyu1eu6-M6M%252CprVDXm_zfmb1fM%252C_&vet=1&usg=K_DXlXtqGBVFYkYM6WArNW0e_z4rQ%3D&sa=X&ved=2ahUKEwikg9T8u5HwAhXxMewKHWlPBDIQuqIBMBR6BAgmEAM&biw=1440&bih=821#imgrc=u9Bgyu1eu6-M6M,Biblioteca di Agraria Gabriele Goidanich
sSdDfF455G,https://www.google.com/search?q=Biblioteca+di+Chimica.+Sezione+di+Chimica+industriale+via+risorgimento+4&rlz=1C5CHFA_enIT931IT932&sxsrf=ALeKk0199WEUmuBLbY09mYtqdiTcrLWsqA:1619081394920&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjo5J-bvJHwAhVMtKQKHQEwCMoQ_AUoBHoECAEQBg&biw=1440&bih=821#imgrc=S21jpNzgISTUDM,Biblioteca di Chimica. Sezione di Chimica industriale
yYyUu5013f,https://www.google.com/search?q=Biblioteca+di+Chimica.+Sezione+Giacomo+Ciamician+via+selmi+2&rlz=1C5CHFA_enIT931IT932&sxsrf=ALeKk018a1rAGTH2-bVffTEJdLNOXIDU5Q:1619081446081&source=lnms&tbm=isch&sa=X&ved=2ahUKEwiqqtKzvJHwAhVG2aQKHVXyDF0Q_AUoA3oECAEQBQ&biw=1440&bih=821#imgrc=k7kRHGlgXju0_M,Biblioteca di Chimica. Sezione Giacomo Ciamician
rReEe45Ttt,https://www.google.com/search?q=Biblioteca+di+discipline+umanistiche+via+zamboni+36&rlz=1C5CHFA_enIT931IT932&sxsrf=ALeKk03A-9fV9swo6IFK-QxFvRN3LakLyg:1619081491767&tbm=isch&source=iu&ictx=1&fir=-HcF9g4JpQNXiM%252CpyiE2IVoXJj7AM%252C_&vet=1&usg=K_7thgBvXOXXs462va2s-wz3v_HNA%3D&sa=X&ved=2ahUKEwj99LbJvJHwAhWQtKQKHfVZBTwQuqIBMBJ6BAgiEAM&biw=1440&bih=821#imgrc=-HcF9g4JpQNXiM,Biblioteca di discipline umanistiche
nNmMMmd456,https://www.google.com/search?q=Biblioteca+di+Medicina.+Biblioteca+Biomedica+via+filippo+re+8&rlz=1C5CHFA_enIT931IT932&sxsrf=ALeKk00J28eIsqME-UFoath48X_m4L7Gfw:1619081531830&tbm=isch&source=iu&ictx=1&fir=KPAv_kXeS2gIuM%252CP0fQk6pXg8PHQM%252C_&vet=1&usg=K_KjOeoYEIbNoXbMsocBLIBlkRQJM%3D&sa=X&ved=2ahUKEwjVmsTcvJHwAhUILOwKHSy8DO4QuqIBMBJ6BAgeEAM&biw=1440&bih=821#imgrc=KPAv_kXeS2gIuM,Biblioteca di Medicina. Biblioteca Biomedica
iIioopy674,https://www.google.com/search?q=Biblioteca+di+Veterinaria+G.B.+Ercolani+via+tolara+di+sopra+Ozzano&rlz=1C5CHFA_enIT931IT932&sxsrf=ALeKk00VKt0yUDiORWKMQLq95trbevTCCg:1619081564959&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjJj6rsvJHwAhUwMewKHduyDfYQ_AUoA3oECAEQBQ&biw=1440&bih=821#imgrc=T83xc3433YUcDM,Biblioteca di Veterinaria G.B. Ercolani
qQwtTyr5Tt,https://www.google.com/search?q=Biblioteca+Giuridica+Antonio+Cicu.+Sezione+Centrale+via+zamboni+27/29&rlz=1C5CHFA_enIT931IT932&sxsrf=ALeKk039ZkXIHZGdTpQjePI4J4j_-m-ClQ:1619081641158&tbm=isch&source=iu&ictx=1&fir=outltU8zws5LoM%252CAW5sljuvZoIx1M%252C_&vet=1&usg=K_a5rpY_E0mABurYkLwwAInTa0N-Q%3D&sa=X&ved=2ahUKEwiNh9WQvZHwAhVqwAIHHXcxAhoQuqIBMAx6BAgcEAM&biw=1440&bih=821#imgrc=outltU8zws5LoM,Biblioteca Giuridica Antonio Cicu. Sezione Centrale
xXcCccve45,https://www.google.com/search?q=Biblioteca+Universitaria+di+Bologna+via+zamboni+33/35&rlz=1C5CHFA_enIT931IT932&sxsrf=ALeKk01L1azkg-RW8inoki-auAYfUVhpMw:1619081665583&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjf4aecvZHwAhUOwAIHHVrpCfcQ_AUoAnoECAEQBA&biw=1440&bih=821#imgrc=8eryAREW1ebGGM,Biblioteca Universitaria di Bologna
