Biblioteca Universitaria di Bologna,Via Zamboni,33-35,40126,Bologna,bub.info@unibo.it,http://www.bub.unibo.it,44.496987,11.352497,blablabla
Biblioteca Giuridica Antonio Cicu. Sezione Centrale,Via Zamboni,27/29,40126,Bologna,abis.bibliotecacicu@unibo.it,http://giuridica.sba.unibo.it/,44.4966024,11.3495127,blablabla
Biblioteca di Agraria Gabriele Goidanich,Viale G. Fanin,40,40127,Bologna,info-prestito.biblioagraria@unibo.it,http://agraria.sba.unibo.it/,44.51342190,11.40478410,blablabla
Biblioteca di Chimica. Sezione di Chimica industriale,Viale Risorgimento,4,40136,Bologna,chimind.biblioteca@unibo.it,http://chimicaindustriale.sba.unibo.it/,44.48782550,11.32674840,blablabla
Biblioteca di Chimica. Sezione Giacomo Ciamician,Via Selmi,2,40126,Bologna,dipchim.biblioteca@unibo.it,http://www.chimica.unibo.it/it/biblioteca,44.49629560,11.35184010,blablabla
Biblioteca di discipline umanistiche,Via Zamboni,36,40126,Bologna,bdu.lettere@unibo.it,http://bdu.sba.unibo.it/,44.49610400,11.34632640,blablabla
Biblioteca di Medicina. Biblioteca Biomedica,Via Filippo Re,8,40126,Bologna,bibbiomed.info@unibo.it,http://biomedica.sba.unibo.it,44.50035940,11.35314650,blablabla
Biblioteca di Veterinaria G.B. Ercolani,Via Tolara di Sopra,50,40064,Ozzano,erclib@unibo.it,http://veterinaria.sba.unibo.it/,44.43514540,11.48360850,blablabla
Area Biblioteche e Servizi allo Studio,Viale Filopanti,7,40126,Bologna,alessandra.citti@unibo.it,http://www.biblioteche.unibo.it,44.49544370,11.35443770,blablabla
Biblioteca delle Arti. Sezione di Musica e Spettacolo,Via Barberia,4,40123,Bologna,biblioteca.muspe@unibo.it,http://arti.sba.unibo.it,44.49125690,11.33698910,blablabla
